id,name,symbol,rank,price_usd,24h_volume,market_cap,market_cap_rounded,available_supply,total_supply,percent_change_1h,percent_change_24h,percent_change_7d,background_color
bitcoin,Bitcoin,BTC,1,11280.7,18671800000.0,189618549738,1896.2,16809112.0,16809112.0,1.57,0.38,-21.67,lightblue
ethereum,Ethereum,ETH,2,1016.38,8464080000.0,98635799858.0,986.4,97046183.0,97046183.0,3.12,-1.59,-20.22,green
ripple,Ripple,XRP,3,1.27723,6994170000.0,49478795372.0,494.8,38739142811.0,99993093880.0,4.05,10.03,-32.9,red
bitcoin-cash,Bitcoin Cash,BCH,4,1742.32,1443730000.0,29475241241.0,294.8,16917238.0,16917238.0,2.65,-0.9,-35.96,red
cardano,Cardano,ADA,5,0.625826,1621940000.0,16225834847.0,162.3,25927070538.0,31112483745.0,2.5,4.89,-16.05,red
litecoin,Litecoin,LTC,6,185.291,1406830000.0,10154592197.0,101.5,54803483.0,54803483.0,-0.2,-0.66,-24.04,red
neo,NEO,NEO,7,140.854,1537970000.0,9155510000.0,91.6,65000000.0,100000000.0,2.37,1.68,17.33,red
nem,NEM,XEM,8,1.01056,163293000.0,9095039999.0,91.0,8999999999.0,8999999999.0,3.14,7.81,-28.86,red
stellar,Stellar,XLM,9,0.473173,470662000.0,8465454674.0,84.7,17890823598.0,103610058900,4.64,11.74,-12.1,red
iota,IOTA,MIOTA,10,2.72587,238704000.0,7576638213.0,75.8,2779530283.0,2779530283.0,0.54,8.79,-25.12,red
dash,Dash,DASH,11,798.82,197315000.0,6250163311.0,62.5,7824245.0,7824245.0,2.63,7.59,-25.46,red
eos,EOS,EOS,12,10.1787,1570950000.0,6219276703.0,62.2,611008941.0,900000000.0,4.29,1.71,-6.77,red
tron,TRON,TRX,14,0.0758625,1325450000.0,4987822252.0,49.9,65748192475.0,100000000000,5.78,43.04,-35.74,red
monero,Monero,XMR,13,320.187,192606000.0,4999583777.0,50.0,15614575.0,15614575.0,2.2,1.92,-18.81,red
bitcoin-gold,Bitcoin Gold,BTG,15,185.239,333719000.0,3106559650.0,31.1,16770549.0,16870549.0,1.75,1.49,-20.16,red
ethereum-classic,Ethereum Classic,ETC,16,29.2484,592353000.0,2901248211.0,29.0,99193399.0,99193399.0,3.31,5.07,-19.8,red
icon,ICON,ICX,17,7.42653,106674000.0,2822415624.0,28.2,380045004.0,400230000.0,1.68,2.24,-30.11,red
qtum,Qtum,QTUM,18,36.3812,977330000.0,2685482644.0,26.9,73815120.0,100315120.0,3.41,3.63,-29.14,red
lisk,Lisk,LSK,19,22.4116,106692000.0,2624587783.0,26.2,117108452.0,117108452.0,2.23,10.12,-20.55,red
raiblocks,RaiBlocks,XRB,20,16.7221,23263600.0,2228191217.0,22.3,133248289.0,133248289.0,2.26,13.82,-40.81,red
omisego,OmiseGO,OMG,21,18.2262,115223000.0,1859847957.0,18.6,102042552.0,140245398.0,3.27,8.7,-19.49,red
ardor,Ardor,ARDR,23,1.58528,78464200.0,1583693919.0,15.8,998999495.0,998999495.0,-5.4,7.18,6.47,red
tether,Tether,USDT,22,1.02466,5569250000.0,1657992943.0,16.6,1618090823.0,1650000000.0,-0.86,-0.46,2.06,red
zcash,Zcash,ZEC,24,498.531,170991000.0,1535279183.0,15.4,3079606.0,3079606.0,0.0,0.18,-27.77,red
siacoin,Siacoin,SC,26,0.047458,236078000.0,1489998305.0,14.9,31396146174.0,31396146174.0,0.13,26.3,-30.51,red
populous,Populous,PPT,25,41.2414,3561820.0,1526097875.0,15.3,37004027.0,53252246.0,1.05,10.39,-18.38,red
stratis,Stratis,STRAT,27,14.618,54538800.0,1442865849.0,14.4,98704737.0,98704737.0,2.32,1.15,-18.9,red
binance-coin,Binance Coin,BNB,28,14.1331,297401000.0,1399374763.0,14.0,99014000.0,197192382.0,3.96,4.79,-15.28,red
verge,Verge,XVG,29,0.0918756,149303000.0,1348199425.0,13.5,14674183621.0,14674183621.0,3.22,13.28,-43.65,red
bytecoin-bcn,Bytecoin,BCN,30,0.00731908,10305400.0,1344288164.0,13.4,183669008138,183669008138,5.76,17.37,-33.26,red
vechain,VeChain,VEN,31,4.82081,127924000.0,1336148395.0,13.4,277162633.0,867162633.0,2.28,1.35,-22.23,red
smartcash,SmartCash,SMART,32,1.87837,3435090.0,1126339316.0,11.3,599636555.0,1200680834.0,-2.5,105.45,339.51,red
status,Status,SNT,33,0.311032,1583080000.0,1079431514.0,10.8,3470483788.0,6804870174.0,2.43,4.64,-18.63,red
kucoin-shares,KuCoin Shares,KCS,34,11.4616,13230900.0,1043499320.0,10.4,91043076.0,181043076.0,11.06,10.7,-39.76,red
steem,Steem,STEEM,35,3.9339,26117700.0,972311752.0,9.7,247162295.0,264136389.0,1.07,4.39,-21.99,red
bitshares,BitShares,BTS,36,0.349401,127089000.0,910972263.0,9.1,2607240000.0,2607240000.0,4.37,4.17,-43.67,red
dogecoin,Dogecoin,DOGE,37,0.00766109,59019800.0,864299646.0,8.6,112816798328,112816798328,4.93,14.55,-38.75,red
waves,Waves,WAVES,38,8.41251,82741000.0,841251000.0,8.4,100000000.0,100000000.0,-1.75,3.17,-29.27,red
dragonchain,Dragonchain,DRGN,39,3.23795,7744950.0,771998321.0,7.7,238421940.0,433494437.0,1.86,17.44,-27.41,red
0x,0x,ZRX,40,1.53894,39410700.0,763212072.0,7.6,495933611.0,1000000000.0,3.56,6.02,-27.79,red
dentacoin,Dentacoin,DCN,41,0.00219786,4354240.0,714722567.0,7.1,325190215376,1841395638392,9.83,49.27,-45.06,red
augur,Augur,REP,42,64.054,26653700.0,704594000.0,7.0,11000000.0,11000000.0,2.7,-1.08,-32.54,red
electroneum,Electroneum,ETN,43,0.114701,8733620.0,673901513.0,6.7,5875288908.0,5875288908.0,2.3,2.9,-23.83,red
maker,Maker,MKR,44,1047.59,1049620.0,647649230.0,6.5,618228.0,1000000.0,1.38,0.01,-2.16,red
veritaseum,Veritaseum,VERI,45,313.774,682338.0,639046386.0,6.4,2036645.0,100000000.0,1.58,-1.43,-30.1,red
komodo,Komodo,KMD,46,5.94088,10806000.0,617897762.0,6.2,104007784.0,104007784.0,1.56,7.3,-25.36,red
salt,SALT,SALT,47,8.5538,17224500.0,608224999.0,6.1,71105824.0,120000000.0,3.31,8.6,-32.06,red
ark,Ark,ARK,48,6.20473,10356200.0,607947412.0,6.1,97981284.0,131264724.0,5.08,13.96,-36.11,red
qash,QASH,QASH,50,1.72816,32474100.0,604856000.0,6.0,350000000.0,1000000000.0,4.28,7.34,-3.84,red
digibyte,DigiByte,DGB,51,0.0606628,31067400.0,589140437.0,5.9,9711725096.0,9711725096.0,3.03,4.43,-44.21,red
basic-attention-token,Basic Attention Token,BAT,49,0.605018,27367200.0,605018000.0,6.1,1000000000.0,1500000000.0,14.56,32.41,-20.77,red
